
<Produkt>,<Beschreibung>,<Verkaufspreis>,<Gewicht>,<Sonderangebot ( 0 /1 )>,<Min. Auftragsanzahl>,<Produktnummer>,<System ID>,<ID der Steuerklasse>,<Masseinheit ID>,<Zus&auml;tzliche Produktattribute>
EC 25,Euroclip,78.00,0,0,1,03463,1254,MwSt normal,13,"24,8 - 26,0",,,100,400
EC 25,Euroclip,122.70,0,0,1,01687,1255,MwSt normal,13,"24,8 - 26,0",,,100,400
EC 28,Euroclip,72.53,0,0,1,03476,1256,MwSt normal,13,"27,5 - 28,8",,,75,300
EC 28,Euroclip,103.35,0,0,1,01717,1257,MwSt normal,13,"27,5 - 28,8",,,75,300
EC 32,Euroclip,74.85,0,0,1,03489,1258,MwSt normal,13,"31,0 - 32,5",,,75,300
EC 32,Euroclip,115.43,0,0,1,01818,1259,MwSt normal,13,"31,0 - 32,5",,,75,300
EC 37,Euroclip,72.80,0,0,1,03362,1260,MwSt normal,13,"37,0 - 39,0",,,50,200
EC 37,Euroclip,103.85,0,0,1,01834,1261,MwSt normal,13,"37,0 - 39,0",,,50,200
EC 40,Euroclip,78.00,0,0,1,03492,1262,MwSt normal,13,"38,5 - 40,0",,,50,200
EC 40,Euroclip,118.90,0,0,1,01850,1263,MwSt normal,13,"38,5 - 40,0",,,50,200
EC 50,Euroclip,59.28,0,0,1,03506,1264,MwSt normal,13,"49,5 - 51,0",,,30,120
EC 50,Euroclip,88.92,0,0,1,01892,1265,MwSt normal,13,"49,5 - 51,0",,,30,120
ESD 11,Clip-on Systemteile,32.20,0,0,1,03548,1266,MwSt normal,13,,11 mm,,100,1200
ESD 30,Clip-on Systemteile,36.40,0,0,1,03388,1267,MwSt normal,13,,27 mm,,100,800
ESD 30,Clip-on Systemteile,64.50,0,0,1,01951,1268,MwSt normal,13,,27 mm,,100,800
ESD 45,Clip-on Systemteile,42.60,0,0,1,03391,1269,MwSt normal,13,,42 mm,,100,1000
ESD 45,Clip-on Systemteile,78.00,0,0,1,02121,1270,MwSt normal,13,,42 mm,,100,1000
ESD 80,Clip-on Systemteile,101.90,0,0,1,03344,1271,MwSt normal,13,,80 mm,,100,1000
EKP,Clip-on Systemteile,39.50,0,0,1,03405,1272,MwSt normal,13,35 x 38,,,100,1000
ESC,Euro-Schraub-Clip,75.00,0,0,1,03069,1273,MwSt normal,13,,f黵 M6,,200,2400
AKS 11,Anreih-Klemmschelle,35.40,0,0,1,03292,1274,MwSt normal,13,"12,6 - 13,5",,,100,1000
AKS 13,Anreih-Klemmschelle,40.50,0,0,1,03010,1275,MwSt normal,13,"15,0 - 16,0",,,100,1000
AKS 16,Anreih-Klemmschelle,42.50,0,0,1,03032,1276,MwSt normal,13,"17,5 - 18,5",,,100,1000
